line,station,direction,day_type,time,dest,remark
南北線,大通,麻生方面,weekday,17:42,麻生行き,
南北線,大通,麻生方面,weekday,17:49,麻生行き,
南北線,大通,麻生方面,weekday,17:56,麻生行き,
南北線,大通,麻生方面,weekday,18:03,麻生行き,
南北線,大通,麻生方面,weekday,18:10,麻生行き,
南北線,大通,麻生方面,weekday,18:17,麻生行き,
南北線,大通,麻生方面,weekday,18:24,麻生行き,
南北線,大通,麻生方面,weekday,18:31,麻生行き,
南北線,大通,麻生方面,weekday,18:38,麻生行き,
南北線,大通,麻生方面,weekday,18:45,麻生行き,
南北線,大通,麻生方面,weekday,18:52,麻生行き,
南北線,大通,麻生方面,weekday,18:59,麻生行き,
南北線,大通,麻生方面,weekday,19:06,麻生行き,
南北線,大通,麻生方面,weekday,19:13,麻生行き,
南北線,大通,麻生方面,weekday,19:20,麻生行き,
南北線,大通,麻生方面,weekday,19:27,麻生行き,
南北線,大通,麻生方面,weekday,19:34,麻生行き,
南北線,大通,麻生方面,weekday,19:41,麻生行き,
南北線,大通,麻生方面,weekday,19:48,麻生行き,
南北線,大通,麻生方面,weekday,19:55,麻生行き,
南北線,大通,麻生方面,weekday,20:02,麻生行き,
南北線,大通,麻生方面,weekday,20:10,麻生行き,
南北線,大通,麻生方面,weekday,20:18,麻生行き,
南北線,大通,麻生方面,weekday,20:26,麻生行き,
南北線,大通,麻生方面,weekday,20:34,麻生行き,
南北線,大通,麻生方面,weekday,20:42,麻生行き,
南北線,大通,麻生方面,weekday,20:50,麻生行き,
南北線,大通,麻生方面,weekday,20:58,麻生行き,
南北線,大通,麻生方面,weekday,21:06,麻生行き,
南北線,大通,麻生方面,weekday,21:14,麻生行き,
南北線,大通,麻生方面,weekday,21:22,麻生行き,
南北線,大通,麻生方面,weekday,21:30,麻生行き,
南北線,大通,麻生方面,weekday,21:38,麻生行き,
南北線,大通,麻生方面,weekday,21:46,麻生行き,
南北線,大通,麻生方面,weekday,21:54,麻生行き,
南北線,大通,麻生方面,weekday,22:02,麻生行き,
南北線,大通,麻生方面,weekday,22:10,麻生行き,
南北線,大通,麻生方面,weekday,22:18,麻生行き,
南北線,大通,麻生方面,weekday,22:26,麻生行き,
南北線,大通,麻生方面,weekday,22:35,麻生行き,
南北線,大通,麻生方面,weekday,22:43,麻生行き,
南北線,大通,麻生方面,weekday,22:51,麻生行き,
南北線,大通,麻生方面,weekday,22:59,麻生行き,
南北線,大通,麻生方面,weekday,23:07,麻生行き,
南北線,大通,麻生方面,weekday,23:16,麻生行き,
南北線,大通,麻生方面,weekday,23:25,麻生行き,
南北線,大通,麻生方面,weekday,23:34,麻生行き,
南北線,大通,麻生方面,weekday,23:43,麻生行き,
南北線,大通,麻生方面,weekday,23:52,麻生行き,
南北線,大通,麻生方面,weekday,00:00,麻生行き,
南北線,大通,麻生方面,weekday,00:09,麻生行き,
南北線,大通,麻生方面,weekend_holiday,06:16,麻生行き,
南北線,大通,麻生方面,weekend_holiday,06:26,麻生行き,
南北線,大通,麻生方面,weekend_holiday,06:36,麻生行き,
南北線,大通,麻生方面,weekend_holiday,06:46,麻生行き,
南北線,大通,麻生方面,weekend_holiday,06:54,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:01,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:07,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:14,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:20,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:26,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:31,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:36,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:40,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:44,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:48,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:52,麻生行き,
南北線,大通,麻生方面,weekend_holiday,07:56,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:00,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:04,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:08,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:12,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:16,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:20,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:24,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:28,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:32,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:36,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:40,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:44,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:48,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:52,麻生行き,
南北線,大通,麻生方面,weekend_holiday,08:56,麻生行き,
